# timestamp tx ty tz qx qy qz qw
1760656511.526413 79.048108 -95.936081 0.000000 0.000000 0.000000 0.968269 0.249912
1760656511.726418 79.046721 -95.935237 0.000000 0.000000 0.000000 0.968376 0.249497
1760656511.926422 78.658961 -95.664034 0.000000 0.000000 0.000000 0.966887 0.255206
1760656512.159753 78.280904 -95.396836 0.000000 0.000000 0.000000 0.965635 0.259901
1760656512.359753 77.905109 -95.132467 0.000000 0.000000 0.000000 0.964610 0.263682
1760656512.593102 77.532380 -94.875645 0.000000 0.000000 0.000000 0.963746 0.266823
1760656512.826420 77.156427 -94.622723 0.000000 0.000000 0.000000 0.963097 0.269155
1760656513.026425 77.155236 -94.621866 0.000000 0.000000 0.000000 0.962703 0.270561
1760656513.229497 76.754958 -94.349829 0.000000 0.000000 0.000000 0.962230 0.272239
1760656513.459754 76.390435 -94.064738 0.000000 0.000000 0.000000 0.960792 0.277270
1760656513.693091 76.018512 -93.802082 0.000000 0.000000 0.000000 0.960089 0.279695
1760656513.926412 75.647219 -93.539177 0.000000 0.000000 0.000000 0.959659 0.281167
1760656514.126424 75.646077 -93.538319 0.000000 0.000000 0.000000 0.959140 0.282931
1760656514.359735 75.248543 -93.260207 0.000000 0.000000 0.000000 0.959442 0.281906
1760656514.559755 74.853905 -92.989229 0.000000 0.000000 0.000000 0.959780 0.280753
1760656514.793089 74.467281 -92.724671 0.000000 0.000000 0.000000 0.960094 0.279677
1760656515.026494 74.076169 -92.474738 0.000000 0.000000 0.000000 0.960626 0.277844
1760656515.259755 73.685101 -92.226073 0.000000 0.000000 0.000000 0.961160 0.275990
1760656515.526414 73.296589 -91.979310 0.000000 0.000000 0.000000 0.961680 0.274173
1760656515.726465 73.295138 -91.978378 0.000000 0.000000 0.000000 0.961678 0.274182
1760656515.959802 72.870945 -91.722684 0.000000 0.000000 0.000000 0.962401 0.271632
1760656516.193185 72.448708 -91.478833 0.000000 0.000000 0.000000 0.963037 0.269370
1760656516.426425 72.040594 -91.227898 0.000000 0.000000 0.000000 0.963118 0.269080
1760656516.659753 71.633189 -90.989285 0.000000 0.000000 0.000000 0.963467 0.267829
1760656516.893102 71.229267 -90.749263 0.000000 0.000000 0.000000 0.963644 0.267189
1760656517.093122 71.227911 -90.748469 0.000000 0.000000 0.000000 0.963793 0.266653
1760656517.326422 70.796025 -90.498747 0.000000 0.000000 0.000000 0.963782 0.266692
1760656517.526424 70.367611 -90.259903 0.000000 0.000000 0.000000 0.963764 0.266755
1760656517.726434 69.948218 -90.030104 0.000000 0.000000 0.000000 0.963571 0.267451
1760656517.959754 69.540400 -89.797696 0.000000 0.000000 0.000000 0.962802 0.270207
1760656518.159756 69.539073 -89.796937 0.000000 0.000000 0.000000 0.962778 0.270293
1760656518.359773 69.098550 -89.571195 0.000000 0.000000 0.000000 0.961828 0.273655
1760656518.593101 68.670309 -89.347601 0.000000 0.000000 0.000000 0.960192 0.279340
1760656518.826422 68.240669 -89.146189 0.000000 0.000000 0.000000 0.958524 0.285011
1760656519.059758 67.822869 -88.932139 0.000000 0.000000 0.000000 0.955781 0.294079
1760656519.293090 67.404262 -88.722402 0.000000 0.000000 0.000000 0.952728 0.303823
1760656519.526422 66.997492 -88.498746 0.000000 0.000000 0.000000 0.949169 0.314768
1760656519.793093 66.589215 -88.276099 0.000000 0.000000 0.000000 0.945260 0.326319
1760656520.059836 66.174609 -88.051625 0.000000 0.000000 0.000000 0.941102 0.338124
1760656520.326422 65.760392 -87.816894 0.000000 0.000000 0.000000 0.936889 0.349627
1760656520.559748 65.345311 -87.575803 0.000000 0.000000 0.000000 0.933115 0.359579
1760656520.759756 65.343881 -87.574808 0.000000 0.000000 0.000000 0.930726 0.365717
1760656520.993089 64.907968 -87.312357 0.000000 0.000000 0.000000 0.927861 0.372926
1760656521.229512 64.481232 -87.051010 0.000000 0.000000 0.000000 0.924875 0.380271
1760656521.459755 64.066871 -86.784994 0.000000 0.000000 0.000000 0.921623 0.388087
1760656521.693086 63.690698 -86.501565 0.000000 0.000000 0.000000 0.917588 0.397532
1760656521.893090 63.316530 -86.219061 0.000000 0.000000 0.000000 0.914186 0.405294
1760656522.094847 62.958803 -85.929905 0.000000 0.000000 0.000000 0.911337 0.411660
1760656522.326444 62.606062 -85.640240 0.000000 0.000000 0.000000 0.906870 0.421411
